Cases
40.0
52.0
38.0
47.0
35.0
32.0
53.0
41.0
57.0
59.0
36.0
38.0
65.0
47.0
59.0
66.0
85.0
40.0
70.0
61.0
56.0
80.0
80.0
126.0
143.0
130.0
120.0
154.0
153.0
109.0
131.0
108.0
153.0
104.0
112.0
174.0
152.0
159.0
172.0
171.0
184.0
178.0
204.0
196.0
253.0
200.0
212.0
268.0
212.0
274.0
313.0
233.0
273.0
295.0
278.0
272.0
316.0
295.0
284.0
293.0
380.0
339.0
370.0
388.0
415.0
431.0
449.0
382.0
427.0
491.0
384.0
358.0
448.0
486.0
498.0
393.0
495.0
494.0
585.0
509.0
565.0
537.0
492.0
509.0
536.0
646.0
667.0
560.0
748.0
772.0
682.0
598.0
694.0
651.0
627.0
650.0
804.0
751.0
735.0
772.0
741.0
841.0
764.0
764.0
765.0
819.0
758.0
750.0
841.0
849.0
968.0
628.0
1098.0
1015.0
854.0
1104.0
938.0
919.0
894.0
993.0
1021.0
871.0
914.0
924.0
950.0
993.0
859.0
1047.0
954.0
1072.0
945.0
877.0
1249.0
1013.0
1172.0
840.0
1092.0
1006.0
1111.0
1228.0
1038.0
1147.0
1062.0
820.0
1039.0
1224.0
""
""
""
""
523.0
133.0
1215.0
735.0
618.0
1071.0
888.0
855.0
1038.0
1119.0
644.0
1495.0
1045.0
878.0
981.0
1136.0
1267.0
993.0
874.0
1054.0
1537.0
1197.0
1308.0
1466.0
1346.0
1347.0
1347.0
